,Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,금리,환율
0,2015-01-02,169000,170500,167000,169000,458014,0.0,181909,5.38,0.93,31441,1.15,1950,2.0,1093.5999755859375
1,2015-01-05,171000,171000,166000,168000,454073,-0.00591715976331364,181909,5.34,0.92,31441,1.16,1950,2.0,1111.0
2,2015-01-06,166500,167000,164000,164500,635059,-0.02083333333333337,181909,5.23,0.9,31441,1.19,1950,2.0,1108.5
3,2015-01-07,163000,171500,163000,170000,511006,0.033434650455927084,181909,5.41,0.93,31441,1.15,1950,2.0,1097.300048828125
4,2015-01-08,172500,178000,171000,178000,902742,0.04705882352941182,181909,5.66,0.98,31441,1.1,1950,2.0,1097.800048828125
5,2015-01-09,180000,182500,177500,180000,717579,0.011235955056179803,181909,5.73,0.99,31441,1.08,1950,2.0,1094.300048828125
6,2015-01-12,178000,179500,175500,177500,684147,-0.01388888888888884,181909,5.65,0.98,31441,1.1,1950,2.0,1081.800048828125
7,2015-01-13,181500,181500,178000,179500,713861,0.011267605633802802,181909,5.71,0.99,31441,1.09,1950,2.0,1081.4000244140625
8,2015-01-14,181000,182500,176500,177500,392613,-0.011142061281337101,181909,5.65,0.98,31441,1.1,1950,2.0,1077.0999755859375
9,2015-01-15,178000,178000,173500,174500,378944,-0.016901408450704203,181909,5.55,0.96,31441,1.12,1950,2.0,1082.0
10,2015-01-16,172000,174000,169000,171000,584513,-0.02005730659025784,181909,5.44,0.94,31441,1.14,1950,2.0,1075.5
11,2015-01-19,172500,173500,171000,172500,317800,0.00877192982456143,181909,5.49,0.95,31441,1.13,1950,2.0,1078.0
12,2015-01-20,173000,174500,172000,173500,230296,0.005797101449275255,181909,5.52,0.95,31441,1.12,1950,2.0,1079.0999755859375
13,2015-01-21,172500,176000,168500,171500,487848,-0.011527377521613813,181909,5.45,0.94,31441,1.14,1950,2.0,1086.699951171875
14,2015-01-22,171500,174000,164500,168000,934624,-0.020408163265306145,181909,5.34,0.92,31441,1.16,1950,2.0,1081.9000244140625
15,2015-01-23,170500,171000,167000,168000,808652,0.0,181909,5.34,0.92,31441,1.16,1950,2.0,1084.699951171875
16,2015-01-26,165500,166500,163500,164500,1025813,-0.02083333333333337,181909,5.23,0.9,31441,1.19,1950,2.0,1084.5
17,2015-01-27,166000,166000,161000,164000,807357,-0.003039513677811523,181909,5.22,0.9,31441,1.19,1950,2.0,1079.300048828125
18,2015-01-28,164500,166000,163000,165500,575233,0.009146341463414531,181909,5.26,0.91,31441,1.18,1950,2.0,1076.699951171875
19,2015-01-29,165500,168500,164500,167000,415472,0.009063444108761365,181909,5.31,0.92,31441,1.17,1950,2.0,1084.4000244140625
20,2015-01-30,168500,171000,167000,169500,708694,0.014970059880239583,181909,5.39,0.93,31441,1.15,1950,2.0,1098.800048828125
21,2015-02-02,170000,171000,168500,171000,434084,0.008849557522123908,181909,5.44,0.94,31441,1.14,1950,2.0,1099.0
22,2015-02-03,169000,169500,165500,166000,704421,-0.0292397660818714,181909,5.28,0.91,31441,1.17,1950,2.0,1098.0999755859375
23,2015-02-04,166500,168000,165500,166500,827022,0.003012048192771122,181909,5.3,0.92,31441,1.17,1950,2.0,1091.300048828125
24,2015-02-05,166000,167500,165500,166000,381546,-0.0030030030030030463,181909,5.28,0.91,31441,1.17,1950,2.0,1087.5999755859375
25,2015-02-06,166000,167000,161000,163500,1051919,-0.015060240963855387,181909,5.2,0.9,31441,1.19,1950,2.0,1084.800048828125
26,2015-02-09,162000,162500,156000,157500,865369,-0.03669724770642202,181909,5.01,0.87,31441,1.24,1950,2.0,1096.699951171875
27,2015-02-10,157000,160000,156000,156500,543125,-0.006349206349206327,181909,4.98,0.86,31441,1.25,1950,2.0,1094.0999755859375
28,2015-02-11,157500,158000,155000,157000,590973,0.0031948881789136685,181909,4.99,0.86,31441,1.24,1950,2.0,1097.5999755859375
29,2015-02-12,158000,158000,155000,155000,545256,-0.01273885350318471,181909,4.93,0.85,31441,1.26,1950,2.0,1105.699951171875
30,2015-02-13,156000,160500,156000,158000,565464,0.019354838709677358,181909,5.03,0.87,31441,1.23,1950,2.0,1101.199951171875
31,2015-02-16,159000,160000,157500,158000,305310,0.0,181909,5.03,0.87,31441,1.23,1950,2.0,1095.4000244140625
32,2015-02-17,158000,163500,158000,162500,616701,0.028481012658227778,181909,5.17,0.89,31441,1.2,1950,2.0,1100.199951171875
33,2015-02-23,166000,167000,160500,162000,661014,-0.003076923076923088,181909,5.15,0.89,31441,1.2,1950,2.0,1109.0999755859375
34,2015-02-24,164000,164500,161500,162500,450646,0.0030864197530864335,181909,5.17,0.89,31441,1.2,1950,2.0,1107.699951171875
35,2015-02-25,163500,164500,162500,164000,502056,0.009230769230769154,181909,5.22,0.9,31441,1.19,1950,2.0,1111.300048828125
36,2015-02-26,164500,164500,162000,163500,472204,-0.0030487804878048808,181909,5.2,0.9,31441,1.19,1950,2.0,1098.6800537109375
37,2015-02-27,163000,164000,160000,160500,668860,-0.01834862385321101,181909,5.1,0.88,31441,1.21,1950,2.0,1100.6700439453125
38,2015-03-02,162000,162500,160000,161500,478539,0.006230529595015577,181909,5.14,0.89,31441,1.21,1950,2.0,1099.010009765625
39,2015-03-03,162500,168500,161500,166500,735321,0.030959752321981338,181909,5.3,0.92,31441,1.17,1950,2.0,1100.5899658203125
40,2015-03-04,167500,169000,163000,163500,635636,-0.018018018018018056,181909,5.2,0.9,31441,1.19,1950,2.0,1094.9599609375
41,2015-03-05,163000,169000,163000,167500,481426,0.024464831804281273,181909,5.33,0.92,31441,1.16,1950,2.0,1099.25
42,2015-03-06,169000,173500,168000,173000,930838,0.032835820895522394,181909,5.5,0.95,31441,1.13,1950,2.0,1099.8900146484375
43,2015-03-09,172500,173000,169000,169000,616415,-0.023121387283236983,181909,5.38,0.93,31441,1.15,1950,2.0,1108.81005859375
44,2015-03-10,171000,173500,170000,173000,657344,0.023668639053254337,181909,5.5,0.95,31441,1.13,1950,2.0,1113.5
45,2015-03-11,171000,178500,170000,176500,1126499,0.020231213872832443,181909,5.61,0.97,31441,1.1,1950,2.0,1124.8599853515625
46,2015-03-12,177500,177500,172000,172000,839816,-0.025495750708215303,181909,5.47,0.95,31441,1.13,1950,1.75,1128.97998046875
47,2015-03-13,173500,174500,170000,172000,497175,0.0,181909,5.47,0.95,31441,1.13,1950,1.75,1123.02001953125
48,2015-03-16,172500,177000,172000,175500,794357,0.02034883720930236,181909,5.58,0.96,31441,1.11,1950,1.75,1136.219970703125
49,2015-03-17,178000,182000,177000,182000,1193025,0.03703703703703698,181909,5.79,1.0,31441,1.07,1950,1.75,1129.0
50,2015-03-18,183000,186000,182000,182000,868610,0.0,181909,5.79,1.0,31441,1.07,1950,1.75,1127.1600341796875
