,Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,금리,환율
0,2022-01-27,597000,598000,450000,505000,15946992,,34398,0.0,14.68,0,0.0,0,1.25,1200.6300048828125
1,2022-01-28,476000,483000,445000,450000,4559773,-0.1089108910891089,34398,0.0,13.08,0,0.0,0,1.25,1203.4599609375
2,2022-02-03,458000,495500,441000,477000,2918435,0.06000000000000005,34398,0.0,13.87,0,0.0,0,1.25,1199.9599609375
3,2022-02-04,476500,505000,476000,504000,2088996,0.05660377358490565,34398,0.0,14.65,0,0.0,0,1.25,1200.3299560546875
4,2022-02-07,520000,548000,511000,548000,1911176,0.08730158730158721,34398,0.0,15.93,0,0.0,0,1.25,1197.0899658203125
5,2022-02-08,554000,577000,524000,542000,2583335,-0.010948905109489093,34398,0.0,15.76,0,0.0,0,1.25,1196.8499755859375
6,2022-02-09,550000,557000,505000,511000,2070704,-0.05719557195571956,34398,0.0,14.86,0,0.0,0,1.25,1196.3599853515625
7,2022-02-10,507000,507000,471500,474500,2306815,-0.0714285714285714,34398,0.0,13.79,0,0.0,0,1.25,1194.030029296875
8,2022-02-11,463500,484000,457000,482000,1411055,0.015806111696522684,34398,0.0,14.01,0,0.0,0,1.25,1199.3499755859375
9,2022-02-14,473000,482000,459500,463000,3285402,-0.03941908713692943,34398,0.0,13.46,0,0.0,0,1.25,1199.239990234375
10,2022-02-15,460000,468000,450000,451500,825406,-0.024838012958963263,34398,0.0,13.13,0,0.0,0,1.25,1197.3599853515625
11,2022-02-16,464000,465000,449500,455500,961669,0.008859357696566983,34398,0.0,13.24,0,0.0,0,1.25,1196.8299560546875
12,2022-02-17,454500,460000,447000,454500,711183,-0.002195389681668547,34398,0.0,13.21,0,0.0,0,1.25,1196.75
13,2022-02-18,448500,454500,448000,454500,418728,0.0,34398,0.0,13.21,0,0.0,0,1.25,1198.6600341796875
14,2022-02-21,450000,453000,447500,453000,327509,-0.0033003300330033403,34398,0.0,13.17,0,0.0,0,1.25,1195.0699462890625
15,2022-02-22,444500,448000,440000,440000,557179,-0.028697571743929395,34398,0.0,12.79,0,0.0,0,1.25,1194.6800537109375
16,2022-02-23,443500,446000,438000,442000,381560,0.00454545454545463,34398,0.0,12.85,0,0.0,0,1.25,1192.6800537109375
17,2022-02-24,435000,438000,416000,416500,883314,-0.05769230769230771,34398,0.0,12.11,0,0.0,0,1.25,1192.4000244140625
18,2022-02-25,425000,430000,418500,420000,465140,0.008403361344537785,34398,0.0,12.21,0,0.0,0,1.25,1206.0
19,2022-02-28,404500,422000,404000,412000,970088,-0.01904761904761909,34398,0.0,11.98,0,0.0,0,1.25,1197.5899658203125
20,2022-03-02,411000,434500,408500,434000,895460,0.05339805825242716,34398,0.0,12.62,0,0.0,0,1.25,1205.3699951171875
21,2022-03-03,439500,441000,430000,437000,460544,0.00691244239631339,34398,0.0,12.7,0,0.0,0,1.25,1203.1500244140625
22,2022-03-04,433500,436500,427000,428500,310930,-0.0194508009153318,34398,0.0,12.46,0,0.0,0,1.25,1205.989990234375
23,2022-03-07,420500,421000,412000,414000,370588,-0.03383897316219375,34398,0.0,12.04,0,0.0,0,1.25,1216.7099609375
24,2022-03-08,406000,417000,402500,410500,393413,-0.008454106280193274,34398,0.0,11.93,0,0.0,0,1.25,1232.300048828125
25,2022-03-10,421000,430500,417500,417500,1076446,0.01705237515225333,34398,0.0,12.14,0,0.0,0,1.25,1223.22998046875
26,2022-03-11,411500,412000,390500,391000,1811373,-0.06347305389221558,34398,0.0,11.37,0,0.0,0,1.25,1228.5999755859375
27,2022-03-14,385000,385500,361500,363500,1999479,-0.07033248081841437,34398,0.0,10.57,0,0.0,0,1.25,1236.8900146484375
28,2022-03-15,363000,370000,355000,359500,1064506,-0.011004126547455306,34398,0.0,10.45,0,0.0,0,1.25,1242.050048828125
29,2022-03-16,367000,367500,360000,363500,625328,0.011126564673157091,34398,0.0,10.57,0,0.0,0,1.25,1241.6800537109375
30,2022-03-17,374000,381500,373000,376000,816118,0.0343878954607979,34398,0.0,10.93,0,0.0,0,1.25,1223.0
31,2022-03-18,377500,384000,370500,382000,643915,0.015957446808510634,34398,0.0,11.11,0,0.0,0,1.25,1210.3299560546875
32,2022-03-21,385000,397500,384000,386000,655247,0.010471204188481575,34398,0.0,11.22,0,0.0,0,1.25,1210.3699951171875
33,2022-03-22,388500,399000,388000,397500,413972,0.029792746113989743,34398,0.0,11.56,0,0.0,0,1.25,1219.780029296875
34,2022-03-23,403000,407500,398000,407000,523438,0.023899371069182385,34398,0.0,11.83,0,0.0,0,1.25,1214.949951171875
35,2022-03-24,405000,410000,398000,408000,320746,0.002457002457002533,34398,0.0,11.86,0,0.0,0,1.25,1218.010009765625
36,2022-03-25,418500,444000,417500,439000,1528600,0.0759803921568627,34398,0.0,12.76,0,0.0,0,1.25,1217.550048828125
37,2022-03-28,439000,443000,430000,436500,481311,-0.005694760820045608,34398,0.0,12.69,0,0.0,0,1.25,1224.3800048828125
38,2022-03-29,443000,448500,440500,441000,375894,0.010309278350515427,34398,0.0,12.82,0,0.0,0,1.25,1223.6600341796875
39,2022-03-30,444500,445000,427000,440500,440195,-0.0011337868480725266,34398,0.0,12.81,0,0.0,0,1.25,1209.1300048828125
40,2022-03-31,437000,444000,435000,442000,272318,0.0034052213393871433,34398,0.0,12.85,0,0.0,0,1.25,1210.43994140625
41,2022-04-01,438500,439500,425000,428000,456080,-0.03167420814479638,34398,0.0,12.44,0,0.0,0,1.25,1214.5
42,2022-04-04,422000,440500,417500,438500,362727,0.02453271028037385,34398,0.0,12.75,0,0.0,0,1.25,1218.780029296875
43,2022-04-05,442500,450000,437000,449000,491410,0.02394526795895091,34398,0.0,13.05,0,0.0,0,1.25,1213.9000244140625
44,2022-04-06,436000,448500,436000,444500,415524,-0.010022271714922093,34398,0.0,12.92,0,0.0,0,1.25,1218.75
45,2022-04-07,438000,442000,431000,436500,316409,-0.017997750281214864,34398,0.0,12.69,0,0.0,0,1.25,1217.5999755859375
46,2022-04-08,449000,449000,437500,439500,395489,0.0068728522336769515,34398,0.0,12.78,0,0.0,0,1.25,1222.6600341796875
47,2022-04-11,435000,435500,423500,425000,289205,-0.0329920364050057,34398,0.0,12.36,0,0.0,0,1.25,1228.239990234375
48,2022-04-12,417000,421500,410000,411000,382240,-0.03294117647058825,34398,0.0,11.95,0,0.0,0,1.25,1235.050048828125
49,2022-04-13,414000,431500,404000,431000,386194,0.048661800486617945,34398,0.0,12.53,0,0.0,0,1.25,1228.5999755859375
50,2022-04-14,434000,441000,427500,441000,321259,0.023201856148491906,34398,0.0,12.82,0,0.0,0,1.5,1223.1199951171875
