date,title,content,sentiment,label
2023-08-08 17:00:26,"['[IR]롯데케미칼', '""', '양극박', '고객', ',', '삼성SDI', '위주', '서', 'LG엔솔·SK온', '으로', '확대', '""']",[],0.7,1
2023-08-08 14:20:39,"['[', '단독', ']', '삼성', ',', '전', '경련', '재가입하나', '...', '전', '경련', '총회', '전', '긴급', '임시회']",[],0.49,0
2023-08-08 16:47:07,"['LG엔솔·SK온·삼성SDI,', 'LFP', '배터리', '개발', '확대…""전기차', '수요', '대응', '하', 'ㄴ다', '""']",[],0.68,1
2023-08-08 15:32:01,"['8월', '개미들', '순매수', '1위', '‘삼성전자’', '...', '2차전지', '쏠리', 'ㅁ', '완화']",[],0.51,1
2023-08-08 09:44:24,"['""폐배터리', '가', '먹거리""…배터리', '리사이클링', '뛰어들', '는', '기업들']",[],0.49,0
2023-08-07 17:38:15,"['단', '1.', '5%P차…中', 'CATL', ',', 'LG엔솔', ""'"", '턱', '밑', '추격', ""'""]",[],0.58,1
2023-08-08 14:33:01,"['""', '80조', '폐배터리', '시장', '뜨', 'ㄴ다', '""', '..', '배터리', '재활용', '사업', '진출', '봇물']",[],0.72,1
2023-08-08 13:52:01,"['코스피', ',', '하락', '전환해', '2600', '선', '하회…반도체·인터넷株↓']",[],0.64,1
2023-08-08 16:10:01,"['수익성', '높이', 'ㄴ', 'K', '배터리', ',', '차세대', '기술', '경쟁', '불', '뿜', '는다']",[],0.73,1
2023-08-08 05:21:01,"['꼬이', 'ㄴ', '수급', '풀리', '니', ""실적株로…'에코프"", '로', '내리', '고', '네이버', '오르', '고', ""'""]",[],0.57,1
2023-08-08 15:03:27,"['[', '단독', ']', '휴가', '맞', '은', '이재', '용', ',', '크', '어', '나', '아', '거치', '어', '독일行…전장', '등', '논의', '하', 'ㄹ', '듯']",[],0.76,1
2023-08-08 10:02:01,"['[', '오전', '시황', ']', '코스피', ',', '닷새', '만', '에', '오름세', '돌아서…2600', '탈환', '시도']",[],0.72,1
2023-08-07 17:54:15,"['다시', '불붙', '은', '초전도체주…수급쏠림', '완화', '에', '이차전지', '는', '와르르']",[],0.47,0
2023-08-08 09:32:26,"['코스피', ',', '美', '훈풍', '에', '장', '초반', '상승…개인', ""'"", '사자', ""'["", '개장시황', ']']",[],0.45,0
2023-08-08 16:24:41,"['""', '벌써', '5일', '째', '""', '코스피', ',', '中', '리스크', '에', '연이', 'ㄹ', '약세…코스닥', '도', '주춤', '[', '시황종합', ']']",[],0.54,1
2023-08-08 09:12:08,"[""'"", '美', '훈풍', ""'"", '에', '코스피', '상승', '출발…장중', '2600', '선', '회복']",[],0.52,1
2023-08-08 08:02:01,"['한경ESG', '8월호', ""...'"", 'ESG', '브랜드', '조사', ""'"", '㈜LG', '2년', '연속', '1위']",[],0.57,1
2023-08-08 16:47:03,"['[', '마감', '시황', ']', '코스피', ',', '기관·외', '이', 'ㄴ', ""'"", '팔', '자', ""'"", '에', '닷새째', '내리막…""관망', '심리', '크', '어', '지', '어', '""']",[],0.56,1
2023-08-07 17:43:01,"['시급', '부터', '稅혜택', '까지', '트집잡', '는', 'UAW…후속투', '이', '자', '제동', '걸리', '나']",[],0.53,1
2023-08-08 15:49:05,"['[', '데이터', '로', '보', '는', '증시]하이브·포스코인터내셔널,', '기관·외국', '이', 'ㄴ', '코스피', '순매수', '1', '위', '(', '8월', '8일', ')']",[],0.63,1
2023-08-08 11:17:03,"['전기차', '배터리', '급성장', '에', '거세', '어', '지', 'ㄴ', '‘글로벌', '광물', '합종연횡’', '[', '지금', '은', '광물광', '시대', ']']",[],0.56,1
2023-08-08 15:51:05,"['“중국', '폐배터리', '시장', '공략”…', 'LG엔솔,', '화유코발트', '와', '합작법인', '설립']",[],0.54,1
2023-08-08 16:24:11,"['코스피', ',', '2570', '선', '장', '종료…5거래', '이', 'ㄹ', '연속', '하락', '[', '마감시황', ']']",[],0.61,1
2023-08-08 15:41:01,"['코스피', '또', '하락…""게', '이', 'ㅁ', '끝났다', '""', '하루', '만', '에', '29', '%', '폭락한', '종목']",[],0.4,0
2023-08-08 16:23:06,"['[', '단독', ']', '“해외', '러브콜', '이어지는데”…희토류공장', '韓', '유치', '에도', '국내', '대기업', '‘외면’']",[],0.65,1
2023-08-07 18:26:01,"['배터리', '밀', '도', '높이', 'ㄹ', '고급', ""소재…'단결정"", '양극재', ""'"", '생산', '러시']",[],0.5,0
2023-08-08 08:48:05,"['서진시스템,', '베트남', '법', '이', 'ㄴ', '전기차', '생산시설', '증설완료']",[],0.49,0
2023-08-08 00:01:00,"['‘뉴', '전경련’', '쇄신', '크', '어', '잡', '은', '류진', '회장', ',', '4대', '그룹', '도', '복귀', '시키', '나']",[],0.57,1
2023-08-07 18:31:28,"['전', '경련', ',', '새', '수장', '으로', '류진', '풍산', '회장', '추대…“글로벌', '네트워크', '탁월”', '평가']",[],0.4,0
2023-08-08 08:29:01,"['[', '어제장', '오늘장', ']', ""'"", '청구서', ""'"", '받', '아', '들', 'ㄴ', '2차전지…쏠림', '풀리', '자', ""'와르르"", ""'""]",[],0.5,0
2023-08-08 06:00:01,"[""'"", '전장', '뭐', '이', '길래', ""'"", '모빌리티', '생태계', '이끌', '는', '전자업계']",[],0.57,1
2023-08-07 18:34:03,"['새', '성장엔진', '단', '반도체', '장비…460兆', '2차전지', '시장', '질주']",[],0.57,1
2023-08-08 05:04:57,"['中', '밖', '으로', '진격', '하', 'ㄴ', '中', 'CATL…LG엔솔', '턱', '밑', '까지', '쫓', '아', '오', '아다']",[],0.61,1
2023-08-08 17:19:31,"['1384억원', '쏟', '아', '내', 'ㄴ', '외국인…코스피', '5거래', '이', 'ㄹ', '연속', '하락']",[],0.63,1
2023-08-08 16:09:02,"['[', '시황', ']', '코스피', ',', '외인·기관', ""'"", '팔', '자', ""'"", '5거래', '이', 'ㄹ', '연속', '하락', '마감']",[],0.65,1
2023-08-07 17:41:01,"['2차전지', '기업', '변신', '하', '는', ""'"", '광학필름', '거인', ""'""]",[],0.49,0
2023-08-08 09:17:55,"['꺾이', 'ㄴ', '2차', '전지', '..', '코스피', '는', '개', '이', 'ㄴ', '덕', '에', '상승']",[],0.66,1
2023-08-08 10:59:48,"['청주·포항·새만금·울산,', ""'"", '이차전지', '메카', '지역', ""'"", '으로', '도약', '하', 'ㄴ다']",[],0.51,1
2023-08-08 06:02:03,"['[', '인터뷰', ']', '‘2차전지', 'ETF', '1위’', '남경문', '한투운용', '부장', '“포스코', '그룹주', ',', '수직계열화', '잘', '되', '어', '있', '어', '대규모', '편입”']",[],0.58,1
2023-08-08 16:06:53,"['코스피', ',', '기관·외', '이', 'ㄴ', ""'"", '팔', '자', ""'"", '에', '닷새째', '약세…2,570대', '로', '밀려', '(', '종합', ')']",[],0.41,0
2023-08-08 16:02:01,"['코스피', ',', '5거래', '이', 'ㄹ', '연속', '하락…2570선', '마감']",[],0.56,1
2023-08-08 08:01:01,"['[블루마블]판', '크', '어', '지', 'ㄴ', 'XR', '시장', '에', '출사표', '내', 'ㄴ', '버넥트', '""', '실적', '으로', '보이', '어', '주', 'ㄹ', '것""\xa0']",[],0.79,1
2023-08-08 03:04:02,"['전기차', '전환', '에', '감원', '위기감…', '“임금', '40', '%', '올려달라”', '는', '美노조']",[],0.55,1
2023-08-08 09:27:32,"['코스피', ',', '개인·기관', ""'"", '사', '자', ""'"", '에', '0.2', '%', '오름세…2580', '선']",[],0.49,0
