date,title,content,sentiment,label
2023-08-14 05:31:05,"['[', '단독', ']', '경계현', '등', '삼성전자', '경영진', ',', ""'"", '반도체', '특성화대', ""'"", '서울대', '총출동']",[],0.64,1
2023-08-14 11:16:36,"['삼성전자서비스', ',', '수하', '어', '복구', '특별점검', '서비스', '실시']",[],0.48,0
2023-08-14 06:02:01,"['에코프', '로', '대', '이', '시ㄴ', '삼성전자', '사', '아', '들이', 'ㄴ', '개미…증권', '가', '“9만5000원', '간다”']",[],0.49,0
2023-08-13 17:56:53,"['삼성전자', ',', '갤S23', '시리즈', '대상', 'One', 'UI', '6', '베', '어', '타', '아', '시작']",[],0.55,1
2023-08-14 08:04:01,"['이재용', '복권', '1年…삼성전자', '주가', '도', '10', '%', '넘', '게', '오르', '아네', '[투자360', ']']",[],0.51,1
2023-08-14 12:01:01,"['안방', '부터', '지키', 'ㄴ다', '?', '삼성전자', '가', '한국서', '폴더블폰', '가장', '싸', '게', '팔', '는', '까닭', '은']",[],0.5,1
2023-08-13 19:51:01,"['공정위', ',', '‘삼성전자', '에', '갑질’', '美', '브로드컴', '제재', '9월', '결정']",[],0.73,1
2023-08-14 11:25:48,"['침수', '세탁기', '점검', '하', '는', '삼성전자서비스']",[],0.47,0
2023-08-13 19:09:01,"['[', '데이터', '로', '보', '는', '증시]호텔신라·삼성전자,', '기관·외국', '이', 'ㄴ', '주간', '코스피', '순매수', '1', '위', '(', '8월', '7일', '~', '11일', ')']",[],0.63,1
2023-08-14 06:39:35,"['尹', ',', '오늘', '광복절', '특사', '확정…최지성·장충기', '제외', ',', '김태우', '포함']",[],0.57,1
2023-08-14 06:51:01,"['큰손', ""'"", '연기금', ""'"", '삼전·포스코', '팔', '고', '달', 'ㅁ', '은', '종목', '은']",[],0.63,1
2023-08-14 05:20:00,"['삼성', ',', '中', '스마트폰시장', '부활', '날개', ""'"", '펴', '었다', ""'""]",[],0.47,0
2023-08-14 12:07:01,"['尹', '광복절특사', '..', '재계·김태우', '사면']",[],0.64,1
2023-08-13 16:01:02,"['HBM3', '가', '쏘아올린', '차세대', '메모리', '혈투', '..', '삼성·SK', ""'"", '2파', '전', ""'"", '압축']",[],0.71,1
2023-08-14 11:10:05,"['아이폰15', '성능', '얼마나', '뛸까…벤치마크', '유출', '점수', '보', '이', '니']",[],0.56,1
2023-08-14 00:03:00,"['이재', '용', ',', '글로벌', '광폭', '행보', '1년…삼성', '의', '새', '먹거리', '탐색']",[],0.59,1
2023-08-14 09:10:01,"['낸드플래시,', '앞', '이', '캄캄하다', '[', 'ICT', ']']",[],0.44,0
