,Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,금리,환율
0,2015-01-02,26799,26799,26540,26600,175499,0.0022607385079125297,848999,6.72,1.57,197841,1.08,14300,2.0,1093.5999755859375
1,2015-01-05,26720,26720,26260,26660,202790,0.0022556390977443996,848999,6.74,1.57,197841,1.07,14300,2.0,1111.0
2,2015-01-06,26300,26340,25760,25900,304710,-0.028507126781695424,848999,6.55,1.53,197841,1.1,14300,2.0,1108.5
3,2015-01-07,25880,26220,25640,26140,286455,0.009266409266409203,848999,6.61,1.54,197841,1.09,14300,2.0,1097.300048828125
4,2015-01-08,26780,26780,26199,26280,289552,0.00535577658760511,848999,6.64,1.55,197841,1.09,14300,2.0,1097.800048828125
5,2015-01-09,26280,26440,26280,26280,186248,0.0,848999,6.64,1.55,197841,1.09,14300,2.0,1094.300048828125
6,2015-01-12,26260,26379,26020,26320,166508,0.0015220700152207556,848999,6.65,1.55,197841,1.09,14300,2.0,1081.800048828125
7,2015-01-13,26280,26800,26000,26780,245868,0.01747720364741645,848999,6.77,1.58,197841,1.07,14300,2.0,1081.4000244140625
8,2015-01-14,26780,27100,26700,26900,286645,0.004480955937266717,848999,6.8,1.58,197841,1.06,14300,2.0,1077.0999755859375
9,2015-01-15,26900,26979,26580,26680,282078,-0.008178438661710086,848999,6.74,1.57,197841,1.07,14300,2.0,1082.0
10,2015-01-16,26680,26680,26260,26320,271370,-0.013493253373313308,848999,6.65,1.55,197841,1.09,14300,2.0,1075.5
11,2015-01-19,26580,26980,26400,26860,133459,0.020516717325227862,848999,6.79,1.58,197841,1.06,14300,2.0,1078.0
12,2015-01-20,27000,27440,26900,27440,265561,0.021593447505584562,848999,6.93,1.62,197841,1.04,14300,2.0,1079.0999755859375
13,2015-01-21,27340,27900,27200,27900,332253,0.016763848396501357,848999,7.05,1.64,197841,1.03,14300,2.0,1086.699951171875
14,2015-01-22,27960,27979,27560,27560,359154,-0.012186379928315394,848999,6.97,1.62,197841,1.04,14300,2.0,1081.9000244140625
15,2015-01-23,27999,27999,27540,27720,257175,0.005805515239477588,848999,7.01,1.63,197841,1.03,14300,2.0,1084.699951171875
16,2015-01-26,27500,27900,27280,27780,203070,0.0021645021645022577,848999,7.02,1.64,197841,1.03,14300,2.0,1084.5
17,2015-01-27,27500,27999,27480,28000,199144,0.007919366450684029,848999,7.08,1.65,197841,1.02,14300,2.0,1079.300048828125
18,2015-01-28,27720,27800,27479,27560,216630,-0.01571428571428568,848999,6.97,1.62,197841,1.04,14300,2.0,1076.699951171875
19,2015-01-29,27360,27900,27140,27200,274045,-0.013062409288824406,848999,6.87,1.6,197841,1.05,14300,2.0,1084.4000244140625
20,2015-01-30,27200,27540,27200,27300,322200,0.003676470588235281,848999,6.9,1.61,197841,1.05,14300,2.0,1098.800048828125
21,2015-02-02,27299,27540,27120,27360,210420,0.00219780219780219,848999,6.91,1.61,197841,1.05,14300,2.0,1099.0
22,2015-02-03,27600,27600,27180,27320,113088,-0.0014619883040936088,848999,6.9,1.61,197841,1.05,14300,2.0,1098.0999755859375
23,2015-02-04,27500,27620,27180,27180,186578,-0.00512445095168379,848999,6.87,1.6,197841,1.05,14300,2.0,1091.300048828125
24,2015-02-05,27180,27379,26920,27160,135408,-0.0007358351729213064,848999,6.86,1.6,197841,1.05,14300,2.0,1087.5999755859375
